id,scid
1439,161
1439,154
1439,160
1098,17
1098,18
1161,140
1161,144
1161,36
1043,320
1319,231
1319,168
1382,30
1382,56
1107,50
1107,39
1598,320
1327,73
1327,142
1327,55
1327,56
1414,31
1059,218
1218,39
1218,54
1296,320
1341,193
1341,162
1341,174
1341,191
1279,314
1279,54
1279,39
1279,63
1419,37
1419,164
1419,178
1115,37
1115,9
939,9
939,14
939,29
806,264
806,73
806,261
806,263
806,266
806,258
989,93
989,15
989,182
1470,13
1470,25
1470,88
1470,89
1470,239
1459,29
1459,187
1223,29
1228,320
1282,29
1282,49
1345,36
1345,155
1537,36
1537,55
1297,30
1297,314
1297,289
1467,207
1467,22
1488,29
1355,37
1355,198
1281,253
1281,30
1359,54
1359,29
1359,314
1409,36
1409,142
1316,19
1316,68
1062,117
1062,70
1062,116
1547,316
1547,271
1291,43
1291,33
1546,31
1546,213
1333,36
1333,73
1333,142
1350,52
1350,31
1317,28
1317,31
1317,36
1490,16
1490,22
1460,44
1460,123
1460,20
1460,203
997,24
997,25
1017,31
1017,38
1017,52
1378,53
1406,36
1406,34
1406,153
1437,36
1437,142
1664,144
1664,185
1591,53
1591,289
1591,89
1619,243
1619,23
1619,116
1601,31
1601,34
1601,37
1601,41
1601,55
1601,289
1164,229
1164,234
1436,106
1436,199
1436,132
1436,107
1436,251
1436,133
1427,262
1427,259
1427,257
1485,238
1485,240
1485,233
1525,53
1765,72
1765,171
1765,86
1749,29
1749,36
1704,220
1401,239
1401,229
1401,145
1679,7
1679,9
1679,13
1699,272
1699,309
1477,122
1477,27
1477,37
1330,53
1330,55
1330,52
1330,62
1475,73
1475,142
1475,29
1657,9
1657,3
1657,35
1657,237
1657,243
793,29
793,37
1651,101
1651,213
1681,210
1681,213
1605,35
1605,40
1842,320
1800,29
1800,73
1800,142
1800,257
1496,31
1496,57
1733,43
1733,29
1733,40
1426,45
1426,54
1508,54
1508,9
1508,10
1498,73
1498,33
1498,142
1740,44
1528,31
1526,130
1526,128
1517,41
1517,125
1517,120
1517,44
1195,29
1559,75
1964,75
1695,29
1560,250
1560,249
1901,320
1782,11
1782,98
1953,231
1953,151
1435,31
1435,69
1435,142
1435,73
1516,44
1684,40
1817,22
1937,182
1937,180
1881,53
1881,56
1881,66
1758,31
1758,54
1917,206
1917,208
1925,36
1892,75
1892,48
1892,145
1725,30
1725,54
1725,286
1825,74
1763,21
1763,215
1763,103
1763,115
1610,45
1884,159
1884,184
1581,44
1581,55
1866,36
1866,51
1866,40
1866,143
1801,29
1801,36
1801,142
1891,16
1891,21
1891,142
1921,261
1921,190
1921,167
1474,320
1813,31
1813,43
1815,320
2079,62
2079,311
2079,289
2079,31
2079,318
1933,44
1933,35
1936,147
1936,154
1748,73
1748,142
1748,257
2006,29
1907,91
1907,88
1907,95
1907,122
1907,195
1894,142
1894,73
1931,29
1931,289
2239,9
2239,8
1957,66
1957,39
1998,29
1793,12
1793,13
1793,92
2161,35
2161,44
2019,46
2019,67
2019,93
1849,31
1849,73
1950,53
1950,27
1950,54
2039,29
2039,31
2110,20
2110,22
2110,29
1615,320
1900,140
1900,144
1900,36
1869,29
1869,36
1869,52
1869,73
1869,169
2120,230
2120,294
2120,227
2193,75
2025,260
2025,167
2219,80
2106,21
2106,53
2106,212
2163,36
2163,43
2301,73
1685,243
1685,24
2028,53
2028,289
2028,89
1852,31
1852,36
1860,54
1860,31
2033,192
2033,265
2033,29
2262,124
2262,243
641,29
641,244
2034,320
2022,53
2096,30
2096,40
2096,56
2096,304
1959,17
1959,19
1959,29
2122,320
2137,214
2137,21
2137,315
2103,90
2103,8
2348,36
2348,48
2348,142
1851,36
1851,37
2128,320
2374,18
2374,22
2125,30
2125,213
2286,268
2286,235
