edit_decision_id	article_id	round	editor_id	decision	date_decided
148	77	1	10	3	2009-04-06 06:05:35
149	90	1	23	2	2009-04-11 17:08:30
150	56	1	23	2	2009-04-11 18:04:37
151	89	1	35	1	2009-04-15 22:14:43
152	67	1	31	2	2009-04-20 10:30:29
153	67	1	31	1	2009-04-22 13:13:11
154	56	1	23	1	2009-04-29 16:36:55
155	90	1	23	1	2009-04-30 18:48:22
156	55	1	23	4	2009-05-01 21:12:32
157	59	1	23	2	2009-05-01 23:22:31
158	63	1	23	2	2009-05-04 00:30:54
159	42	1	23	2	2009-05-10 19:54:23
160	44	1	10	2	2009-05-11 04:59:04
161	39	1	23	2	2009-05-13 23:38:16
162	103	1	10	2	2009-05-15 06:19:26
163	103	1	10	1	2009-05-15 06:21:00
164	101	1	10	2	2009-05-18 05:06:19
165	77	2	10	1	2009-05-18 05:19:48
166	59	1	23	1	2009-05-29 14:15:17
167	82	1	35	4	2009-06-16 11:01:20
168	82	1	35	4	2009-06-16 11:11:13
169	63	1	23	1	2009-06-21 12:18:30
170	32	1	35	3	2009-06-25 17:43:48
171	86	1	35	4	2009-06-29 12:57:02
172	52	2	10	2	2009-07-02 04:51:00
173	105	1	2	1	2009-07-09 21:06:21
174	21	1	31	1	2009-07-11 09:31:22
175	21	1	31	1	2009-07-11 09:33:04
176	52	2	10	3	2009-08-10 17:52:53
177	52	3	10	2	2009-08-10 17:57:55
178	102	1	10	3	2009-08-10 18:21:28
179	98	1	10	1	2009-08-10 20:22:31
180	98	1	10	2	2009-08-10 20:28:41
181	102	2	10	1	2009-08-13 17:21:51
182	109	1	23	2	2009-08-19 23:42:32
183	92	2	10	3	2009-08-24 19:21:39
184	109	1	2	1	2009-09-01 22:03:59
185	109	1	23	1	2009-09-01 22:48:40
186	52	3	10	3	2009-09-03 00:40:15
187	34	1	6	4	2009-09-03 11:42:25
188	98	1	10	1	2009-09-04 20:21:56
189	52	4	10	1	2009-09-04 21:35:07
190	114	1	10	2	2009-09-08 15:32:06
191	114	1	10	1	2009-09-09 18:08:35
192	108	1	2	2	2009-09-23 10:06:04
193	76	1	2	1	2009-09-23 10:35:54
194	107	1	2	3	2009-10-04 20:14:14
195	92	3	10	2	2009-10-06 20:40:22
196	39	1	2	1	2009-10-10 16:18:30
197	101	1	10	3	2009-10-19 16:45:31
198	92	3	10	1	2009-11-01 18:21:53
199	115	1	10	1	2009-11-05 03:25:50
200	104	1	10	1	2009-11-05 16:11:57
201	113	1	2	1	2009-11-12 18:48:18
202	100	1	10	2	2009-11-23 01:41:28
203	108	1	2	1	2009-11-29 08:57:37
204	100	1	10	3	2009-11-30 04:22:55
205	126	1	6	1	2009-12-04 15:25:19
206	100	2	10	1	2009-12-07 04:24:34
207	116	1	23	2	2009-12-14 17:06:35
208	116	1	23	1	2009-12-15 17:59:20
209	95	1	10	1	2009-12-18 20:05:19
210	126	1	6	2	2009-12-22 10:20:46
211	136	1	6	1	2009-12-23 00:44:58
212	73	1	31	1	2010-01-01 18:51:48
213	107	2	2	2	2010-01-05 00:35:12
214	142	1	10	4	2010-01-11 19:12:02
215	143	1	10	4	2010-01-11 19:14:23
216	144	1	10	4	2010-01-14 22:07:48
217	101	2	10	1	2010-01-25 04:42:48
218	44	1	10	1	2010-02-04 04:46:52
219	110	1	10	1	2010-02-17 21:30:42
220	135	1	10	2	2010-03-09 19:35:47
221	40	2	10	1	2010-03-17 19:38:38
222	135	1	10	3	2010-03-17 19:45:10
223	149	1	10	4	2010-04-07 21:22:41
224	146	1	2	2	2010-04-16 17:26:54
225	135	2	10	1	2010-04-17 04:18:16
226	146	1	2	1	2010-04-20 18:13:42
227	112	1	10	2	2010-04-20 18:20:53
228	125	1	23	2	2010-04-22 00:22:55
229	148	1	10	2	2010-04-26 15:27:40
230	125	1	23	1	2010-05-01 12:30:12
231	112	1	10	3	2010-05-09 21:22:32
232	148	1	10	3	2010-05-15 18:36:28
233	152	1	10	4	2010-06-06 22:08:52
234	153	1	10	4	2010-06-06 22:20:06
235	158	1	6	1	2010-06-09 14:57:41
236	160	1	10	4	2010-06-20 10:38:42
237	107	2	2	1	2010-06-30 02:47:20
238	163	1	6	1	2010-07-02 11:12:49
239	164	1	6	1	2010-07-02 11:17:19
240	120	1	2	2	2010-07-13 22:10:36
241	111	1	10	1	2010-07-14 06:37:42
242	126	1	10	2	2010-07-25 23:34:27
243	171	1	6	1	2010-08-23 11:00:42
244	126	1	10	1	2010-08-25 20:40:50
245	112	2	10	1	2010-08-31 00:25:35
246	148	2	10	1	2010-09-09 19:09:47
247	174	1	6	1	2010-09-15 13:08:33
248	169	1	10	4	2010-09-16 15:59:12
249	175	1	6	1	2010-09-22 23:33:11
250	176	1	6	1	2010-09-22 23:50:13
251	156	1	10	2	2010-09-30 04:05:29
252	156	1	10	1	2010-10-01 21:47:29
253	119	1	23	2	2010-10-21 14:47:56
254	120	1	2	1	2010-10-21 15:11:39
255	128	1	46	4	2010-10-23 16:01:01
256	131	1	46	2	2010-10-23 17:31:48
257	119	1	23	1	2010-11-27 04:01:53
258	173	1	10	2	2010-11-30 21:41:35
259	173	1	10	1	2010-12-08 23:45:11
260	141	1	10	4	2010-12-09 19:13:15
